자치구,성별,심폐지구력,유연성,근력·근지구력,순발력,신체구성
강남구,남,-0.0017851832617735708,-0.41127684765195827,0.7073821885398317,0.30200629133761003,1.4130863380786662
강동구,남,-1.2984906865677555,0.03228568445164404,0.09293937191521029,0.27662961597653857,0.4848607937080387
강북구,남,-1.0503070467751732,0.7822690383816936,-0.9696946841812579,-0.4086530102985845,-1.5617867852572815
강서구,남,-0.3231738616719626,0.7097072164068103,-0.6171605695502437,-0.37361197760641895,0.5028610065670086
관악구,남,-0.09351805443337269,1.402894965646701,0.584657881662778,-1.6650560568495476,-0.18779259772891985
광진구,남,0.07538926306078897,0.8115540786406156,0.7730344388084646,0.2997989401151782,-0.5879844197224672
구로구,남,0.3375698137072967,0.5031314721041906,-0.3449311535602006,-1.2920714814791379,-0.9414752891726503
금천구,남,0.43720782089114013,0.8198695838993197,0.4982382004345958,0.4829379257490176,-1.6494501595704925
노원구,남,0.19333469673477222,0.7362765072058202,-0.1924255240761857,-0.10877576798686481,0.4467834203524924
도봉구,남,0.012897674430934314,0.46113745625164904,-1.3177273377725842,-0.42288133845866904,-0.47017807024476965
동대문구,남,-0.7963371603889908,0.032924512867521356,0.2501250516750211,0.47872154508019915,0.30976205458079065
동작구,남,-0.6985600144282317,0.22531095790182837,0.6414304438670865,-0.09173906175648489,-0.3658643888033466
마포구,남,0.004788472404506157,-0.8604047939196862,-0.9706643602192581,-0.03493978200439832,0.8320077559882585
서대문구,남,-0.332629845164272,0.375532368118889,-0.2797620919727483,-1.0092469076935848,-0.17551151650241062
서초구,남,-0.40370326209296875,-3.118155464202108,0.29136382694121177,-0.9734828041105692,2.223788356191588
성동구,남,0.13413935999204038,-0.6494440409433768,0.07833485163355092,-0.14459934232902247,-0.004885257454996928
성북구,남,0.9548852659580667,1.0330357534877235,0.40864055959476936,-0.36344346130353516,-0.386012073991403
송파구,남,0.5963528266809638,0.19901655102425608,0.7286369198706563,0.9780853769680224,0.3067932112684929
양천구,남,0.4775080236608751,-0.7759177382019401,0.7623207060279472,-0.15437464669666487,0.7596327523107709
영등포구,남,0.20183798897158556,-1.260091361897933,-0.0538742528880413,0.13662108046482838,-0.3958639068918386
용산구,남,1.0103751169585835,0.18355265975484442,0.34390504400970084,0.5388602100106193,0.34344205905826275
은평구,남,-0.804880145194542,-0.4507490361367114,-0.18333663857283258,-0.3906880524458777,0.2015964118435294
종로구,남,1.0094408373359918,0.7132864991051198,-0.227532590297308,2.4692728894214353,0.70343480699559
중구,남,0.6664967657741285,-1.1765747656039727,-0.7601188496215864,1.0534394127728146,-0.4922936186363441
중랑구,남,-0.013271446796015607,0.5105689426461393,-0.24378143226863058,0.4171904031230336,-1.326848942097944
강남구,여,0.048206852111816446,0.09023464100674185,0.5247802132049122,0.37632263740553523,0.8411944101635727
강동구,여,-0.2734656409050826,-0.10421637802696884,0.6730687141928368,0.10010145317305033,0.34906621163115875
강북구,여,-0.5466659585434922,0.049371809975941525,-0.9089082203608957,-0.6414416834040204,-0.9492978315030884
강서구,여,-0.10829273324084839,0.3722861855996264,-0.08089260238618463,-0.28260857932121825,0.34318673920083
관악구,여,-0.0007882124713521899,0.689998466497988,0.41424608365898097,-0.6077759852774006,-0.13826227413464187
광진구,여,0.19574610148375618,0.49743049044839044,0.8136292884749926,0.5058831611470722,-0.36183187342796774
구로구,여,0.6492156286508176,-0.08456038131349798,-0.0668503466906155,-1.745877081128833,-0.40731088518588854
금천구,여,1.1784730888244062,-0.7092293077951922,-0.35407316200873756,-0.7287452703143323,-1.5914719834689603
노원구,여,0.0956228123130749,0.04074085629253751,-0.42424339827807106,-0.4071476865780444,0.40309739284975776
도봉구,여,-0.7763210603603845,0.03598739234505886,-0.6272664236368365,-0.23641285774025717,-0.8097036891838069
동대문구,여,-0.7245548620154568,0.1060555043408422,0.8727156478674621,0.30659106819926746,-0.5170664308189439
동작구,여,-0.6333691356340981,0.6236055208980171,0.7773420518283034,-0.7810541141791287,-0.2451968125774936
마포구,여,-0.8906007344250254,-0.7716544444990718,-0.7061890504724418,0.3985707421103452,0.19264484828348705
서대문구,여,0.1996672599630679,-0.15317061726438924,-0.040657220287017716,0.7232556337820306,0.19199188742542267
서초구,여,-0.5898289402348494,-0.9875252200263316,-0.5396838502404023,-0.15073917866577874,2.1748693875731706
성동구,여,0.2655522602670226,-0.24511198708369794,0.9809701197208284,0.02775482012776881,-0.012303449734364855
성북구,여,1.3770249879476137,0.12796867593463854,0.06730092615188354,0.2585213529136847,0.36739362000197257
송파구,여,0.6438932080291889,0.2649875470293576,0.6181404205191258,1.7805421966387889,1.9992767625306782
양천구,여,0.632585548730292,-0.1083305354844469,-0.20275370696134618,0.8827642368454984,0.24873480802450632
영등포구,여,0.3147193336057417,-0.7216690995296593,0.11140221700275306,-0.12406791273364307,0.04530180126896844
용산구,여,1.273499103091841,0.387960323185057,-0.436397596684066,0.19548291295719072,-1.6704160566878352
은평구,여,-0.08549837115135411,-0.4420929215224051,-0.19891394631062798,-0.09462592127643893,0.028361202241062713
종로구,여,-1.7597592878808157,-0.10913375452436119,-1.878674212241559,2.443665246354951,0.9164233345481502
중구,여,-0.3266108521328882,1.336825288463246,-0.2358940496809422,-1.7085632973369191,-1.4876689254918012
중랑구,여,0.1135702194436547,-0.18675805494745298,0.7023362380563215,-0.4903958936992404,-1.6559805690135327
